open,high,low,close,volume,datetime
275.42,279.89,275.0001,276.57,267048,2015-12-31 06:00:00
271.16,272.15,268.99,271.71,477420,2016-01-04 06:00:00
272.45,275.94,271.4,274.05,362952,2016-01-05 06:00:00
271.32,274.6,269.18,270.18,515087,2016-01-06 06:00:00
266.94,269.98,261.535,262.03,605062,2016-01-07 06:00:00
263.02,264.37,256.75,257.01,583652,2016-01-08 06:00:00
257.27,258.02,250.98,253.12,824913,2016-01-11 06:00:00
255.64,258.19,251.67,257.29,457562,2016-01-12 06:00:00
258.69,258.69,247.71,248.59,496056,2016-01-13 06:00:00
249.05,258.03,247.21,256.24,825013,2016-01-14 06:00:00
247.21,256.23,247.21,251.28,747696,2016-01-15 06:00:00
255.21,257.05,248.49,251.97,777972,2016-01-19 06:00:00
247.22,249.085,237.1,246.97,719228,2016-01-20 06:00:00
247.01,252.96,245.71,248.81,509914,2016-01-21 06:00:00
252.6,254.41,247.7005,249.22,647036,2016-01-22 06:00:00
248.58,249.67,244.6,245.39,488555,2016-01-25 06:00:00
246.05,250.82,243.615,249.6,930892,2016-01-26 06:00:00
249.14,253.07,245.64,246.8,757750,2016-01-27 06:00:00
226.1,231.4,197.83,199.0,3380871,2016-01-28 06:00:00
199.55,215.79,199.09,199.79,2661791,2016-01-29 06:00:00
200.0,209.34,198.86,206.56,1502809,2016-02-01 06:00:00
203.73,203.83,192.78,194.29,1658117,2016-02-02 06:00:00
196.23,196.84,190.07,194.7,1429250,2016-02-03 06:00:00
193.48,198.96,192.0,197.41,1164254,2016-02-04 06:00:00
196.9,198.76,184.67,187.22,1844189,2016-02-05 06:00:00
181.44,185.06,180.41,183.74,1792249,2016-02-08 06:00:00
181.21,182.84,176.63,177.12,1685809,2016-02-09 06:00:00
178.94,185.41,178.35,182.1,967364,2016-02-10 06:00:00
178.22,182.91,177.26,180.45,777573,2016-02-11 06:00:00
183.13,184.73,181.33,182.65,674882,2016-02-12 06:00:00
183.84,189.878,183.52,187.49,1145117,2016-02-16 06:00:00
188.85,194.39,187.815,192.41,789377,2016-02-17 06:00:00
195.05,201.63,195.0,197.43,863952,2016-02-18 06:00:00
197.34,204.49,195.0,204.36,1018947,2016-02-19 06:00:00
205.57,214.5,205.57,210.89,974894,2016-02-22 06:00:00
209.0,213.77,206.37,206.46,771288,2016-02-23 06:00:00
205.42,211.46,203.0,210.76,561988,2016-02-24 06:00:00
211.34,212.7,208.69,212.6,575592,2016-02-25 06:00:00
213.05,215.94,211.99,212.69,616017,2016-02-26 06:00:00
213.37,214.51,210.01,210.13,721843,2016-02-29 06:00:00
212.23,213.66,209.01,213.51,986286,2016-03-01 06:00:00
212.56,215.29,210.75,214.35,831361,2016-03-02 06:00:00
215.22,218.6899,213.709,216.88,596819,2016-03-03 06:00:00
218.14,218.85,214.65,216.22,641401,2016-03-04 06:00:00
214.42,220.31,214.42,219.96,900732,2016-03-07 06:00:00
218.27,219.73,212.29,212.64,789939,2016-03-08 06:00:00
213.95,213.95,209.89,213.19,645628,2016-03-09 06:00:00
213.26,214.69,206.73,208.06,760838,2016-03-10 06:00:00
211.31,211.87,208.0001,211.6,941025,2016-03-11 06:00:00
215.62,216.64,210.48,214.87,759370,2016-03-14 05:00:00
212.72,217.11,208.74,210.7,820978,2016-03-15 05:00:00
208.91,209.86,204.75,207.34,1226310,2016-03-16 05:00:00
207.99,208.88,204.86,205.56,1361733,2016-03-17 05:00:00
206.0,209.33,203.04,208.7,1763742,2016-03-18 05:00:00
209.08,212.01,207.32,210.3,629273,2016-03-21 05:00:00
208.7,210.62,207.43,210.32,657958,2016-03-22 05:00:00
210.56,213.095,209.45,209.8,601994,2016-03-23 05:00:00
209.42,212.35,207.11,211.77,550307,2016-03-24 05:00:00
212.64,213.095,209.45,211.04,443217,2016-03-28 05:00:00
210.1,213.358,209.28,212.77,623825,2016-03-29 05:00:00
214.42,218.0,214.25,215.96,677566,2016-03-30 05:00:00
215.32,220.63,213.88,220.0,894808,2016-03-31 05:00:00
218.69,221.82,216.5,221.12,506963,2016-04-01 05:00:00
221.2,221.58,214.54,214.71,610732,2016-04-04 05:00:00
212.08,212.16,207.64,210.0,1002877,2016-04-05 05:00:00
210.98,214.66,209.28,214.46,644549,2016-04-06 05:00:00
