open,high,low,close,volume,datetime
235.0,240.63,233.74,233.8,268029,2015-12-31 06:00:00
231.54,233.21,228.31,233.21,494333,2016-01-04 06:00:00
234.88,237.8799,232.76,236.17,356699,2016-01-05 06:00:00
233.27,234.0,226.56,229.94,546652,2016-01-06 06:00:00
226.12,229.6075,222.99,223.84,611796,2016-01-07 06:00:00
223.0,225.3,204.56,215.48,1929242,2016-01-08 06:00:00
218.87,220.65,203.7,206.33,1087020,2016-01-11 06:00:00
208.85,210.5,205.61,209.11,600910,2016-01-12 06:00:00
210.39,210.635,198.71,199.57,659186,2016-01-13 06:00:00
199.51,208.83,199.46,207.0,535560,2016-01-14 06:00:00
203.1,205.9599,199.17,203.06,619299,2016-01-15 06:00:00
204.84,207.345,202.91,206.51,733255,2016-01-19 06:00:00
203.15,205.29,196.83,202.24,708794,2016-01-20 06:00:00
202.19,203.135,195.7,196.63,573948,2016-01-21 06:00:00
199.82,203.27,197.69,199.57,509788,2016-01-22 06:00:00
198.75,199.22,192.1503,192.38,369851,2016-01-25 06:00:00
194.44,197.08,193.85,194.72,542980,2016-01-26 06:00:00
193.62,197.82,192.85,194.28,301628,2016-01-27 06:00:00
196.1,197.5,188.74,189.78,544036,2016-01-28 06:00:00
190.1,202.48,189.5801,202.43,825006,2016-01-29 06:00:00
199.9,202.1,198.77,200.16,442871,2016-02-01 06:00:00
199.05,199.05,195.92,196.5,461028,2016-02-02 06:00:00
198.25,198.5,193.0,194.36,595087,2016-02-03 06:00:00
193.3,199.64,192.8,195.47,417885,2016-02-04 06:00:00
194.91,195.585,182.85,184.35,776547,2016-02-05 06:00:00
181.29,182.725,174.8701,177.22,810095,2016-02-08 06:00:00
175.37,183.5,173.89,180.01,557567,2016-02-09 06:00:00
180.74,184.3299,180.74,183.06,543296,2016-02-10 06:00:00
179.49,179.49,169.42,175.13,1076710,2016-02-11 06:00:00
176.95,180.9,175.25,179.68,678194,2016-02-12 06:00:00
182.22,186.55,181.01,185.89,532853,2016-02-16 06:00:00
187.15,195.92,187.15,194.84,811946,2016-02-17 06:00:00
195.77,196.785,192.8208,194.29,466968,2016-02-18 06:00:00
192.97,193.88,188.09,191.06,525705,2016-02-19 06:00:00
193.1,198.2,193.1,197.52,572338,2016-02-22 06:00:00
196.47,199.4699,196.05,197.22,462219,2016-02-23 06:00:00
194.2,196.91,191.9499,196.75,404743,2016-02-24 06:00:00
199.01,204.59,197.92,204.47,488283,2016-02-25 06:00:00
205.96,209.65,205.53,208.74,450540,2016-02-26 06:00:00
208.96,211.29,207.45,209.43,572850,2016-02-29 06:00:00
210.84,218.07,210.03,217.05,755188,2016-03-01 06:00:00
217.26,220.43,214.155,220.36,446218,2016-03-02 06:00:00
219.62,222.2,216.1775,222.13,571926,2016-03-03 06:00:00
