open,high,low,close,volume,datetime
33.24,33.515,33.17,33.31,1669235,2015-12-31 06:00:00
32.73,32.98,32.34,32.95,3115465,2016-01-04 06:00:00
33.03,33.37,32.705,33.25,3545684,2016-01-05 06:00:00
32.82,33.2,32.71,33.01,2956772,2016-01-06 06:00:00
32.49,32.99,32.36,32.72,3420586,2016-01-07 06:00:00
32.89,33.0,32.15,32.29,2720900,2016-01-08 06:00:00
32.38,32.53,32.065,32.39,1666521,2016-01-11 06:00:00
32.63,32.63,31.91,32.32,1849534,2016-01-12 06:00:00
32.51,33.01,31.5,31.55,3119296,2016-01-13 06:00:00
31.59,32.49,31.49,32.33,2385234,2016-01-14 06:00:00
31.65,31.98,31.51,31.87,3027099,2016-01-15 06:00:00
32.12,32.42,31.65,31.92,2305125,2016-01-19 06:00:00
31.49,32.315,31.0,32.13,3174807,2016-01-20 06:00:00
32.24,32.65,31.97,32.26,2139190,2016-01-21 06:00:00
32.71,32.78,32.318,32.69,1956932,2016-01-22 06:00:00
32.66,32.74,32.34,32.47,2315337,2016-01-25 06:00:00
32.7,32.91,32.39,32.83,1802064,2016-01-26 06:00:00
32.85,33.19,32.5,32.73,2225490,2016-01-27 06:00:00
33.11,33.11,32.63,32.99,1703638,2016-01-28 06:00:00
33.03,34.07,32.92,34.05,2738123,2016-01-29 06:00:00
33.8,34.57,33.7,34.47,2292025,2016-02-01 06:00:00
34.12,34.42,33.885,34.05,1704573,2016-02-02 06:00:00
34.25,34.335,33.7,34.07,2316803,2016-02-03 06:00:00
33.99,34.65,33.82,34.62,2062795,2016-02-04 06:00:00
34.62,35.08,34.57,34.98,3906760,2016-02-05 06:00:00
34.63,34.88,34.08,34.5,3604859,2016-02-08 06:00:00
34.2,34.69,33.91,34.18,2838851,2016-02-09 06:00:00
34.52,34.76,33.97,34.02,2423653,2016-02-10 06:00:00
33.52,33.66,32.77,33.16,3369001,2016-02-11 06:00:00
33.45,33.85,33.2,33.72,2510417,2016-02-12 06:00:00
34.0,34.68,33.61,34.59,3546794,2016-02-16 06:00:00
34.92,35.14,34.63,34.68,2534168,2016-02-17 06:00:00
34.62,34.78,34.18,34.2,1881901,2016-02-18 06:00:00
34.25,34.25,33.7,33.96,1835126,2016-02-19 06:00:00
34.35,34.67,33.84,34.03,2126918,2016-02-22 06:00:00
33.79,33.91,33.43,33.65,2079607,2016-02-23 06:00:00
33.39,33.555,32.73,33.49,1836414,2016-02-24 06:00:00
33.63,33.87,33.38,33.71,2065782,2016-02-25 06:00:00
33.84,34.0,33.64,33.73,1606875,2016-02-26 06:00:00
33.68,33.7,32.855,32.88,2812965,2016-02-29 06:00:00
33.17,33.25,32.4,32.81,3798435,2016-03-01 06:00:00
32.71,32.81,32.4,32.59,2784636,2016-03-02 06:00:00
32.62,32.99,32.45,32.9,2839168,2016-03-03 06:00:00
29.27,29.81,26.93,27.76,22307806,2016-03-04 06:00:00
27.54,28.2999,27.3,28.11,9105813,2016-03-07 06:00:00
28.02,28.16,27.33,27.88,6399889,2016-03-08 06:00:00
28.0,28.2,27.37,27.41,5075396,2016-03-09 06:00:00
27.56,28.1,27.52,28.07,5921199,2016-03-10 06:00:00
28.07,28.61,28.01,28.17,3685640,2016-03-11 06:00:00
28.2,28.32,27.78,27.92,2379819,2016-03-14 05:00:00
27.71,27.76,27.2,27.23,2955888,2016-03-15 05:00:00
27.08,27.18,26.75,27.09,2881382,2016-03-16 05:00:00
27.1,27.23,26.89,27.01,2807895,2016-03-17 05:00:00
26.95,27.39,26.765,27.37,6988929,2016-03-18 05:00:00
27.39,27.725,27.38,27.58,3007610,2016-03-21 05:00:00
27.16,27.275,26.77,26.97,3241335,2016-03-22 05:00:00
26.96,27.11,26.76,26.99,2575224,2016-03-23 05:00:00
26.84,27.085,26.6,26.61,3828012,2016-03-24 05:00:00
26.66,26.74,26.19,26.42,3934544,2016-03-28 05:00:00
26.46,26.765,26.17,26.72,3714093,2016-03-29 05:00:00
26.79,26.95,26.33,26.41,2624182,2016-03-30 05:00:00
26.45,26.565,26.2235,26.42,3721122,2016-03-31 05:00:00
26.38,26.42,25.94,26.23,4316972,2016-04-01 05:00:00
26.24,26.59,26.2,26.33,3409477,2016-04-04 05:00:00
26.22,26.23,25.2,25.42,5544134,2016-04-05 05:00:00
25.49,25.57,25.31,25.42,3675202,2016-04-06 05:00:00
25.31,25.38,24.61,24.76,4088536,2016-04-07 05:00:00
24.89,24.92,24.21,24.35,3930242,2016-04-08 05:00:00
24.4,24.77,23.96,23.99,4245107,2016-04-11 05:00:00
23.99,24.375,23.83,24.21,3456779,2016-04-12 05:00:00
24.33,25.12,24.21,25.01,4433330,2016-04-13 05:00:00
25.03,25.07,23.98,24.02,5295789,2016-04-14 05:00:00
23.97,24.02,23.43,23.87,3826056,2016-04-15 05:00:00
23.78,24.16,23.7,24.15,4611361,2016-04-18 05:00:00
24.2,24.265,23.9,24.0,2833187,2016-04-19 05:00:00
24.08,24.09,23.77,23.77,2666717,2016-04-20 05:00:00
23.87,24.01,23.6,23.76,2492115,2016-04-21 05:00:00
23.67,23.98,23.64,23.83,3024375,2016-04-22 05:00:00
23.77,24.335,23.7564,24.04,5711680,2016-04-25 05:00:00
24.03,24.12,23.8,23.82,4956061,2016-04-26 05:00:00
21.84,21.84,19.75,20.59,16132224,2016-04-27 05:00:00
20.6,21.3,20.51,21.01,6202842,2016-04-28 05:00:00
20.87,20.93,20.19,20.24,7820462,2016-04-29 05:00:00
20.38,20.5,20.01,20.22,5515248,2016-05-02 05:00:00
20.01,20.39,19.82,20.29,4724419,2016-05-03 05:00:00
20.13,20.25,19.96,20.21,3844125,2016-05-04 05:00:00
